date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:31	14954/14954	---M--	200	added ('OK')	text/javascript	etag:%2269a5b40688e48006%22	https://cdn.ampproject.org/v0/amp-accordion-0.1.js	S:/Web%20copies/Website%200108/cdn.ampproject.org/v0/amp-accordion-0.1.js	(from https://ras-it.rs/amp/)
21:17:31	156535/156535	---M--	200	added ('OK')	text/javascript	etag:%22073ef905046845fc%22	https://cdn.ampproject.org/v0/amp-analytics-0.1.js	S:/Web%20copies/Website%200108/cdn.ampproject.org/v0/amp-analytics-0.1.js	(from https://ras-it.rs/amp/)
21:17:32	46919/46919	---M--	200	added ('OK')	text/javascript	etag:%2290236b61181301e4%22	https://cdn.ampproject.org/v0/amp-form-0.1.js	S:/Web%20copies/Website%200108/cdn.ampproject.org/v0/amp-form-0.1.js	(from https://ras-it.rs/amp/)
21:17:33	258790/258790	---M--	200	added ('OK')	text/javascript	etag:%22124120abf09e4d72%22	https://cdn.ampproject.org/v0.js	S:/Web%20copies/Website%200108/cdn.ampproject.org/v0.js	(from https://ras-it.rs/amp/)
21:17:33	146472/146472	---M--	200	added ('OK')	application/octet-stream	etag:%225b51e122-23c28%22	https://ras-it.rs/wp-content/plugins/accelerated-mobile-pages/templates/design-manager/swift/fonts/Poppins-Light.ttf	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/accelerated-mobile-pages/templates/design-manager/swift/fonts/Poppins-Light.ttf	(from https://ras-it.rs/amp/)
21:17:33	145312/145312	---M--	200	added ('OK')	application/octet-stream	etag:%225b51e122-237a0%22	https://ras-it.rs/wp-content/plugins/accelerated-mobile-pages/templates/design-manager/swift/fonts/Poppins-Regular.ttf	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/accelerated-mobile-pages/templates/design-manager/swift/fonts/Poppins-Regular.ttf	(from https://ras-it.rs/amp/)
21:17:33	143516/143516	---M--	200	added ('OK')	application/octet-stream	etag:%225b51e122-2309c%22	https://ras-it.rs/wp-content/plugins/accelerated-mobile-pages/templates/design-manager/swift/fonts/Poppins-Medium.ttf	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/accelerated-mobile-pages/templates/design-manager/swift/fonts/Poppins-Medium.ttf	(from https://ras-it.rs/amp/)
21:17:34	142148/142148	---M--	200	added ('OK')	application/octet-stream	etag:%225b51e122-22b44%22	https://ras-it.rs/wp-content/plugins/accelerated-mobile-pages/templates/design-manager/swift/fonts/Poppins-SemiBold.ttf	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/accelerated-mobile-pages/templates/design-manager/swift/fonts/Poppins-SemiBold.ttf	(from https://ras-it.rs/amp/)
21:17:36	141260/141260	---M--	200	added ('OK')	application/octet-stream	etag:%225b51e122-227cc%22	https://ras-it.rs/wp-content/plugins/accelerated-mobile-pages/templates/design-manager/swift/fonts/Poppins-Bold.ttf	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/accelerated-mobile-pages/templates/design-manager/swift/fonts/Poppins-Bold.ttf	(from https://ras-it.rs/amp/)
21:17:36	119252/119252	---M--	200	added ('OK')	application/octet-stream	etag:%225b51e122-1d1d4%22	https://ras-it.rs/wp-content/plugins/accelerated-mobile-pages/templates/design-manager/swift/fonts/icomoon.ttf	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/accelerated-mobile-pages/templates/design-manager/swift/fonts/icomoon.ttf	(from https://ras-it.rs/amp/)
21:17:36	885/885	---M--	200	added ('OK')	image/gif	etag:%225b51e122-375%22	https://ras-it.rs/wp-content/plugins/essential-grid/public/assets/images/ajax-loader.gif	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/essential-grid/public/assets/images/ajax-loader.gif	(from https://ras-it.rs/wp-content/plugins/essential-grid/public/assets/css/settings.css?ver=2.1.6.2.2)
21:17:37	2545/2545	---M--	200	added ('OK')	image/gif	etag:%225b51e122-9f1%22	https://ras-it.rs/wp-content/plugins/essential-grid/public/assets/images/loader.gif	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/essential-grid/public/assets/images/loader.gif	(from https://ras-it.rs/wp-content/plugins/essential-grid/public/assets/css/settings.css?ver=2.1.6.2.2)
21:17:38	58348/58348	---M--	200	added ('OK')	application/octet-stream	etag:%225b51e122-e3ec%22	https://ras-it.rs/wp-content/plugins/essential-grid/public/assets/font/egfont.eot?85610117	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/essential-grid/public/assets/font/egfontdde9.eot	(from https://ras-it.rs/wp-content/plugins/essential-grid/public/assets/css/settings.css?ver=2.1.6.2.2)
